Front	Back
What is the -1, -2, -3 convention in data warehouse dimension keys?	Reserve negative surrogate key values for special cases: -1 = "Unknown" (data loaded before dimension member exists), -2 = "Not Applicable" (attribute doesn't apply to this record), -3 = "Invalid" (data quality issue). Prevents NULL Foreign Keys in fact tables.
What is a Unique constraint and when do you use it?	A Unique constraint ensures no duplicate values exist in a column or combination of columns. Use for alternate identifiers that must be unique but aren't the Primary Key (email, username, SSN, SKU). Unlike Primary Keys, Unique constraints allow one NULL value and don't identify rows.
Can you have multiple Unique constraints on a table?	Yes, you can have multiple Unique constraints on a table, but only one Primary Key. This allows enforcing uniqueness on several business attributes (email AND username AND employee_code) while maintaining a single Primary Key for relationships.
What is the difference between a Unique constraint and a Unique index?	Functionally identical for enforcing uniqueness. Unique constraint is a logical concept (business rule) and appears in constraints list. Unique index is a physical implementation detail. Create Unique constraint when it represents a business rule; use Unique index purely for performance or partial uniqueness.
How do you create a Unique constraint on multiple columns?	CREATE TABLE Users (UserID INT PRIMARY KEY, FirstName VARCHAR(50), LastName VARCHAR(50), Email VARCHAR(100), CONSTRAINT UQ_Name UNIQUE (FirstName, LastName), CONSTRAINT UQ_Email UNIQUE (Email)). The combination of FirstName + LastName must be unique.
What is a filtered/partial Unique index and when is it useful?	A filtered Unique index enforces uniqueness only on a subset of rows. Useful for soft deletes: CREATE UNIQUE INDEX IX_Active_Email ON Users(Email) WHERE IsActive = 1. Allows inactive users to have duplicate emails, but active users must have unique emails.
What is a Candidate Key?	A Candidate Key is any column or combination of columns that could uniquely identify rows and serve as a Primary Key. A table may have multiple Candidate Keys. You choose one as the Primary Key; the others become Alternate Keys and should have Unique constraints.
What is an Alternate Key?	An Alternate Key is a Candidate Key that was not chosen as the Primary Key. It could have been the Primary Key but another key was selected instead. Alternate Keys should have Unique constraints to enforce their uniqueness. Example: EmployeeID (PK) vs SSN (Alternate Key).
How do you identify Candidate Keys when designing a table?	Look for columns that: 1) Are never NULL, 2) Are unique across all rows, 3) Are immutable or rarely change, 4) Are minimal (no subset is also unique). Common candidates: ID numbers, email addresses, usernames, account numbers. Evaluate stability and choose the best as Primary Key.
What is a Composite Key and when should you use one?	A Composite Key (or Compound Key) consists of two or more columns that together uniquely identify a row. Use for: junction tables in many-to-many relationships, weak entities where single columns aren't unique, or when business logic requires multiple attributes for uniqueness.
What are the downsides of Composite Keys?	1) Wide keys propagate to Foreign Keys (wider indexes, slower joins), 2) More complex to join (multiple columns), 3) Harder to write queries, 4) Can cause performance issues with many columns, 5) Complicates ORM mapping. Prefer single-column surrogate keys for main entity tables.
What is the maximum number of columns in a Composite Key?	SQL Server allows up to 16 columns in a Composite Key, and the total key length cannot exceed 900 bytes. However, practical limit is much lower - keep composite keys under 4 columns and narrow for performance. Wide keys slow down all related indexes.
How do you reference a Composite Key in a Foreign Key?	The Foreign Key must include all columns of the Composite Key in the same order: CREATE TABLE OrderDetails (OrderItemID INT PRIMARY KEY, OrderID INT, ProductID INT, Quantity INT, CONSTRAINT PK_OrderDetails PRIMARY KEY (OrderItemID), CONSTRAINT FK_OrderDetails_Orders FOREIGN KEY (OrderID) REFERENCES Orders(OrderID))
Should Foreign Key columns be indexed?	Yes, always index Foreign Key columns. Without indexes, DELETE and UPDATE operations on the parent table require full table scans of the child table to check for references. Also speeds up JOIN operations. Use non-clustered indexes on FK columns.
What is the impact of wide Primary Keys on performance?	Wide Primary Keys (GUIDs, composite keys, long strings) propagate to all non-clustered indexes as the row locator, increasing index size, slowing down queries, and consuming more memory and disk space. Narrow integer keys (4 bytes) are optimal for performance.
What is index fragmentation and how do keys affect it?	Fragmentation occurs when data pages are out of order. Random keys (GUIDs, non-sequential values) cause page splits and high fragmentation. Sequential keys (IDENTITY, SEQUENTIALID) minimize fragmentation by inserting at the end of the index. Fragmentation degrades query performance.
Why are GUIDs problematic as Primary Keys?	GUIDs (UNIQUEIDENTIFIER) are 16 bytes (4x larger than INT), random values cause severe index fragmentation, take more space in indexes, slow down joins, and are hard for humans to read. If you must use GUIDs, use NEWSEQUENTIALID() instead of NEWID() to reduce fragmentation.
What is the difference between Clustered and Non-Clustered indexes on keys?	Clustered index (usually Primary Key) determines physical row order - only one per table. Non-clustered index is a separate structure with key values and row locators - multiple allowed. Primary Key defaults to clustered; Foreign Keys and Unique constraints default to non-clustered.
What is the Entity-Attribute-Value (EAV) pattern and what are its key challenges?	EAV stores sparse attributes as rows (EntityID, AttributeName, Value) instead of columns. Challenges: no type safety, difficult to enforce constraints, complex queries requiring pivots, poor performance, hard to maintain. Avoid unless absolutely necessary for truly dynamic schemas.
Should dimension tables in a star schema use the source system's Primary Key?	No, dimension tables should use surrogate keys (IDENTITY) rather than source system keys. Source keys may change, aren't always unique across sources, and don't support Type 2 SCD. Keep source key as a natural key column with Unique constraint for reference.
What is a superkey and how is it different from a Candidate Key?	A superkey is any set of columns that uniquely identifies rows (may include extra columns). A Candidate Key is a minimal superkey - no proper subset is also a superkey. Example: (EmployeeID) is both; (EmployeeID, Name) is a superkey but not a Candidate Key because Name is redundant.
How do you handle NULL values in Unique constraints?	SQL Server allows one NULL value in a Unique constraint (NULL != NULL in comparisons). If you need to prevent NULLs entirely, add a NOT NULL constraint. If you need to allow multiple NULLs but enforce uniqueness on non-NULL values, use a filtered unique index: WHERE Column IS NOT NULL.
What is a covering index and how do keys relate to it?	A covering index includes all columns needed for a query, avoiding lookups to the base table. Keys (Primary, Foreign, Unique) often form the basis of covering indexes. Include additional columns using INCLUDE clause to cover queries without enlarging the key structure.
In a Type 2 SCD dimension, what is the Primary Key vs the Business Key?	Primary Key is the surrogate key (auto-incrementing integer, unique per row). Business Key (Natural Key) is the source system identifier that may appear in multiple rows (different versions). Example: CustomerSK (PK, unique) vs CustomerID (BK, same customer, multiple time periods).
What is an identifying vs non-identifying relationship?	Identifying: Child table's Primary Key includes the Foreign Key (strong dependency, child can't exist without parent). Non-identifying: Child has its own Primary Key separate from Foreign Key (weaker relationship). Identifying relationships create composite keys; non-identifying use surrogate keys.
What is wrong with using a timestamp or date as part of a Primary Key?	Timestamps can cause collisions (same millisecond) and make inserts non-deterministic. They create fragmentation as data isn't inserted sequentially by time. Complicates joins and updates. Use separate IDENTITY column for PK; add timestamp column for ordering/auditing with non-clustered index.
Why shouldn't you use meaningful values in Primary Keys?	Meaningful values (department codes, product categories) encode business rules that change over time. When the business rule changes, the key becomes obsolete or requires updating all related tables. Use surrogate keys for immutability; store business attributes in separate columns.
What is the "God Table" anti-pattern and how do keys relate to it?	A God Table combines many entities into one wide table with sparse columns and many nullable Foreign Keys. Leads to confusion about what the Primary Key represents, complex NULL handling, poor performance, and maintenance nightmares. Normalize into separate tables with clear Primary Keys.
What happens if you don't define a Primary Key?	Tables without Primary Keys: allow duplicate rows, make updates/deletes ambiguous (which row?), can't be referenced by Foreign Keys, cause performance issues (no clustered index by default), complicate ORM mapping, and make replication difficult. Always define a Primary Key.
Why is reusing Primary Key values dangerous?	Reusing deleted Primary Key values causes confusion with historical data, breaks audit trails, corrupts relationships if old references still exist, and confuses users. Once a key is assigned, it should never be reused even if the row is deleted. Use IDENTITY to ensure uniqueness.
What is a Sequence object and when should you use it instead of IDENTITY?	A Sequence is a database object that generates sequential numbers across multiple tables. Use instead of IDENTITY when: you need the same number series across tables, need to access the next value before inserting, or need to restart/alter the sequence. More flexible than IDENTITY.
How do you implement a multi-tenant database with keys?	Add TenantID to all tables as part of Composite Primary Keys or include in all Foreign Key relationships. Alternatively, use separate schemas or databases per tenant. Ensure queries filter by TenantID; consider row-level security for additional protection. Never rely solely on application filtering.
What is a heap table and when might you not want a Primary Key?	A heap table has no clustered index (no Primary Key). Might be used for staging tables, ETL loads, or temporary data where you need fast inserts without overhead of maintaining indexes. However, heaps perform poorly for most queries. Add Primary Key before moving to production.
What is the difference between PRIMARY KEY, UNIQUE, and CHECK constraints?	PRIMARY KEY enforces uniqueness and NOT NULL (row identifier). UNIQUE enforces uniqueness but allows one NULL (alternate identifier). CHECK enforces data validation rules (domain integrity, e.g., Age > 0). All can be trusted by query optimizer but serve different purposes.
How do you find tables without Primary Keys in a database?	SELECT t.name AS TableName FROM sys.tables t LEFT JOIN sys.indexes i ON t.object_id = i.object_id AND i.is_primary_key = 1 WHERE i.object_id IS NULL AND t.is_ms_shipped = 0 ORDER BY t.name. This query identifies tables missing Primary Keys for cleanup.
What is a duplicate key violation error and how do you handle it?	Error 2627 or 2601 occurs when inserting/updating violates a Primary Key or Unique constraint. Handle by: checking for existence first, using MERGE statement for upserts, catching error in TRY/CATCH block, or implementing optimistic concurrency with rowversion columns.
Design a user registration system with email uniqueness. What keys do you use?	UserID INT IDENTITY PRIMARY KEY (surrogate for relationships), Email VARCHAR(255) UNIQUE NOT NULL (prevents duplicates), Username VARCHAR(50) UNIQUE (alternate login). Use UserID in all Foreign Keys (narrow, fast). Email gets non-clustered unique index.
How would you model a product catalog with categories and subcategories using keys?	Products: ProductID (PK, surrogate), SKU (Unique, natural key). Categories: CategoryID (PK), ParentCategoryID (FK to Categories, self-referencing, nullable for root). ProductCategories junction: ProductID + CategoryID (Composite PK, FKs to both tables).
Design keys for an order system with order items. What relationships do you define?	Orders: OrderID (PK, surrogate), CustomerID (FK to Customers). OrderItems: OrderItemID (PK, surrogate), OrderID (FK), ProductID (FK), or use Composite PK (OrderID, ProductID) if quantity per product per order. Prefer separate surrogate key for flexibility.
How do you model an employee org chart with self-referencing relationships?	Employees: EmployeeID (PK), ManagerID (FK to Employees.EmployeeID, NULL for CEO). This creates a hierarchical tree structure. Use recursive CTEs to traverse. Consider adding HierarchyID or Materialized Path columns for performance if tree is large.
What key strategy works best for a slowly changing dimension Type 2?	Use surrogate key (CustomerSK) as Primary Key, natural key (CustomerID) as business key with effective date range (StartDate, EndDate) and IsCurrent flag. This allows tracking historical versions of the same customer. Fact tables join on CustomerSK.
How would you handle a social media "follows" relationship with keys?	Follows table with Composite Primary Key (FollowerID, FollowingID), both Foreign Keys to Users table. This prevents duplicate follows and ensures both users exist. Include CreatedDate for timestamp. Cannot use single surrogate key because the relationship itself is the entity.
Design a tagging system where articles can have multiple tags. What keys are needed?	Tags: TagID (PK), TagName (Unique). Articles: ArticleID (PK). ArticleTags junction table: ArticleID + TagID (Composite PK, FKs to both). Junction tables should use Composite Keys since the combination is unique and both columns are Foreign Keys.
What key design supports a shopping cart with multiple items that can be updated?	Carts: CartID (PK, could use SessionID or CustomerID). CartItems: CartItemID (PK), CartID (FK), ProductID (FK), Quantity. Or use Composite Key (CartID, ProductID) with logic to update quantity if product already in cart. Surrogate key allows easier updates and tracking.
How do you handle versioning of documents with keys?	Documents: DocumentID (surrogate PK, represents the document series), VersionNumber (part of Composite PK with DocumentID), Content, CreatedDate. Each version is a new row. Current version can be identified with IsLatest flag or MAX(VersionNumber) per DocumentID.
Design keys for a time-tracking system with projects, tasks, and time entries.	Projects: ProjectID (PK). Tasks: TaskID (PK), ProjectID (FK). TimeEntries: TimeEntryID (PK), TaskID (FK), UserID (FK), StartTime, EndTime. Use surrogate keys throughout for flexibility. Consider adding constraints to prevent overlapping time entries for same user.
